customer_id,age,item_name,total_quantity
5,18,x,3
5,18,y,3
5,18,z,4
7,30,x,14
7,30,y,19
7,30,z,10
9,25,x,5
9,25,y,2
9,25,z,4
16,19,x,5
16,19,y,4
16,19,z,8
22,18,x,5
22,18,y,5
22,18,z,3
28,21,x,3
28,21,z,1
29,30,x,5
29,30,y,12
29,30,z,12
31,22,x,6
31,22,y,7
31,22,z,12
34,22,x,5
34,22,y,6
34,22,z,5
35,20,x,3
35,20,y,5
35,20,z,2
41,21,x,2
41,21,y,4
41,21,z,6
50,31,y,2
50,31,z,1
58,30,x,5
58,30,y,2
58,30,z,4
59,24,x,7
59,24,y,4
59,24,z,5
68,32,x,5
68,32,y,5
68,32,z,3
70,29,x,5
70,29,y,6
70,29,z,1
78,19,x,9
78,19,y,8
78,19,z,3
79,26,x,5
79,26,y,4
79,26,z,7
80,23,x,5
80,23,y,5
80,23,z,6
83,33,x,3
83,33,y,4
83,33,z,5
86,35,x,7
86,35,y,5
86,35,z,5
90,19,x,6
90,19,y,3
90,19,z,5
97,23,x,2
97,23,y,2
97,23,z,3
100,30,x,1
100,30,y,1
100,30,z,5
